,layer,min,max,n,M2,std,mean
0,one,10.0,14801.0,1190000000.0,5599955727897.953,68.59916289207965,111.6603166672667
1,two,6.0,1474.0,1190000000.0,1066885501974.7733,29.942318524694496,44.28689843199517
2,strd,494413.7731823283,1048084.905752056,1190000000.0,3.0290009488769032e+19,159542.43788522392,660305.6941548536
3,e,-3.9823584966626544e-05,5.321492526009201e-06,1190000000.0,0.10495076303055263,9.391161723294379e-06,-8.54532990856018e-06
4,u10,-8.05405979806843,8.393590490406968,1190000000.0,14090262556.95503,3.4410110099432183,-3.028258490390167
5,v10,-8.183150869534813,4.722242902490867,1190000000.0,12841728529.327261,3.285021843464624,-2.751642935410561
6,t2m,239.70390466618974,269.60878672664785,1190000000.0,84938458105.52475,8.448482440702659,250.73857357606997
7,sp,98538.52923387116,102186.4246518772,1190000000.0,836640108397440.9,838.4860849290811,101133.51706316265
8,rsn,99.23682882524402,151.61984657207688,1190000000.0,53560562513.59872,6.708865482467782,103.16362353292752
9,sd,-0.00037013378235804936,0.05515424374896857,1190000000.0,63626.7626074262,0.0073121725729999665,0.0034383508271798287
10,lsm,-0.0014938017491305767,0.6552909647825179,1190000000.0,13362700.130646871,0.10596772986929952,0.09153040870226745
