,CT,CA,CB,CC,SA,SB,SC,CN,CD,FA,FB,FC,CF
0,92,92,-9,-9,87,-9,-9,-9,-9,8,-9,-9,-9
1,92,92,-9,-9,85,-9,-9,-9,-9,8,-9,-9,-9
2,92,90,10,-9,85,83,-9,99,99,5,3,-9,99
3,92,80,10,10,87,85,83,99,99,5,3,3,99
4,92,23,60,12,85,84,82,99,99,4,5,-9,99
5,92,50,23,23,85,84,82,99,99,5,4,-9,99
6,92,80,20,-9,84,82,-9,99,99,5,-9,-9,99
7,92,50,50,-9,85,84,-9,-9,-9,8,8,-9,-9
8,92,92,-9,-9,93,-9,-9,-9,-9,8,-9,-9,-9
9,92,50,50,-9,91,87,-9,-9,-9,8,8,-9,-9
10,92,12,70,12,85,84,82,99,99,4,5,-9,99
11,92,92,-9,-9,82,-9,-9,99,99,-9,-9,-9,99
12,92,50,30,20,91,87,83,99,99,5,4,3,99
13,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
14,92,30,56,12,85,84,82,99,99,4,5,-9,99
15,92,30,50,20,85,84,82,99,99,4,5,-9,99
16,92,50,40,10,85,84,82,99,99,5,4,-9,99
17,92,20,70,10,86,84,82,99,99,3,5,-9,99
18,92,92,-9,-9,84,-9,-9,-9,-9,8,-9,-9,-9
19,92,40,60,-9,84,82,-9,99,99,4,-9,-9,99
20,92,60,23,12,91,87,83,99,99,5,4,3,99
21,91,50,20,23,91,87,83,99,99,5,4,3,99
22,92,78,12,10,85,84,82,99,99,5,4,-9,99
23,91,91,-9,-9,82,-9,-9,99,99,0,-9,-9,99
24,92,30,60,10,91,87,83,99,99,4,5,3,99
25,92,80,10,10,85,84,82,99,99,5,3,-9,99
26,92,80,10,10,91,87,83,99,99,5,3,3,99
27,92,70,30,-9,84,82,-9,99,99,2,-9,-9,99
28,78,78,-9,-9,82,-9,-9,99,99,0,-9,-9,99
29,92,92,-9,-9,91,-9,-9,-9,-9,8,-9,-9,-9
30,92,60,30,10,87,85,83,99,99,5,4,3,99
31,92,78,12,10,87,85,83,99,99,5,4,3,99
32,92,12,45,40,91,87,83,99,99,4,5,3,99
33,92,20,70,10,91,87,83,99,99,4,5,3,99
34,92,50,23,23,87,85,83,99,99,5,4,3,99
35,92,20,70,10,87,85,83,99,99,4,5,3,99
36,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
37,91,70,23,-9,84,82,-9,99,99,3,-9,-9,99
38,92,92,-9,-9,99,-9,-9,-9,-9,8,-9,-9,-9
39,91,91,-9,-9,99,-9,-9,99,99,99,-9,-9,99
40,45,45,-9,-9,99,-9,-9,99,99,99,-9,-9,99
41,78,78,-9,-9,99,-9,-9,99,99,99,-9,-9,99
42,90,90,-9,-9,99,-9,-9,99,99,99,-9,-9,99
43,1,1,-9,-9,99,-9,-9,99,99,99,-9,-9,99
44,13,13,-9,-9,99,-9,-9,99,99,99,-9,-9,99
