,image,uniques
0,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_231.gpkg,"1, 5, 6, 7"
1,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_269.gpkg,"29, 0, 6, 30"
2,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_502.gpkg,"30, 31"
3,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_54.gpkg,"1, 0"
4,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_123.gpkg,"0, 29"
5,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_114.gpkg,"2, 0"
6,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_171.gpkg,"8, 9"
7,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_34.gpkg,"0, 36, 1"
8,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_335.gpkg,"10, 11, 6"
9,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_129.gpkg,"5, 6"
10,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_72.gpkg,"9, 12, 13, 8"
11,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_365.gpkg,"14, 10"
12,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_506.gpkg,10
13,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_249.gpkg,"31, 12"
14,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_369.gpkg,"12, 32"
15,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_106.gpkg,"15, 16"
16,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_253.gpkg,"9, 17, 12"
17,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_159.gpkg,"18, 19"
18,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_443.gpkg,"5, 6, 7"
